log_stamp,IMUData.z,IMUData.seq
1180.543484,,
1180.563713,,
1180.583771,,
1180.603846,,
1180.623922,,
1180.644017,,
1180.664162,,
1180.684305,,
1180.704387,,
1180.724443,,
1180.744615,,
1180.764683,,
1180.784838,,
1180.80486,,
1180.825026,,
1180.845138,,
1180.865232,,
1180.885329,,
1180.905481,,
1180.925644,,
1180.9459,,
1180.96596,,
1180.986015,,
1181.00611,,
1181.026194,,
1181.046243,,
1181.066318,,
1181.086439,,
1181.106545,,
1181.12664,,
1181.146766,,
1181.168859,,
1181.18896,,
1181.20912,,
1181.229285,,
1181.249336,,
1181.269442,,
1181.289614,,
1181.309717,,
1181.370057,,
1181.390094,,
1181.410207,,
1181.43044,,
1181.450484,,
1181.470571,,
1181.49065,,
1181.51074,,
1181.530884,,
1181.55098,,
1181.571125,,
1181.591194,,
1181.611255,,
1181.631327,,
1181.651428,,
1181.671543,,
1181.691679,,
1181.711796,,
1181.731979,,
1181.752043,,
1181.772216,,
1181.792286,,
1181.812351,,
1181.832423,,
1181.852514,,
1181.872666,,
1181.892753,,
1181.912897,,
1181.93297,,
1181.953036,,
1181.973196,,
1181.993302,,
1182.013439,,
1182.033511,,
1182.053568,,
1182.073711,,
1182.093825,,
1182.113875,,
1182.133956,,
1182.15407,,
1182.174214,,
1182.194298,,
1182.214432,,
1182.234493,,
1182.274631,,
1182.294825,,
1182.31491,,
1182.335046,,
1182.355131,,
1182.375233,,
1182.395387,,
1182.415516,,
1182.435597,,
1182.455769,,
1182.475839,,
1182.495896,,
1182.515995,,
1182.536094,,
1182.556225,,
1182.576299,,
1182.596459,,
1182.616556,,
1182.636693,,
1182.656766,,
1182.676949,,
1182.697007,,
1182.717069,,
1182.737163,,
1182.75728,,
1182.777372,,
1182.797473,,
1182.817564,,
1182.83772,,
1182.857783,,
1182.877955,,
1182.898006,,
1182.918201,,
1182.938258,,
1182.958396,,
1182.978611,,
1182.998686,,
1183.018841,,
1183.038833,,
1183.058912,,
1183.078972,,
1183.099135,,
1183.119222,,
1183.139282,,
1183.159397,,
1183.179591,,
1183.199785,,
1183.219851,,
1183.240044,,
1183.260021,,
1183.280094,,
1183.300248,,
1183.320425,,
1183.340486,,
1183.36056,,
1183.380615,,
1183.400746,,
1183.420851,,
1183.440968,,
1183.461092,,
1183.481181,,
1183.501263,,
1183.521319,,
1183.541512,,
1183.561684,,
1183.581853,,
1183.601944,,
1183.622081,,
1183.642175,,
1183.682397,,
1183.702454,,
1183.722543,,
1183.742635,,
